+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 1000     | 
| noServices    | 1000     | 
| noShipments   | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 192013.9622587949                        | 
| noVehicles    | 75                                       | 
| unassgndJobs  | 314                                      | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 20      | 2_7_vehicle          | service               | 969             | 52              | 90              | 52              |
| 20      | 2_7_vehicle          | service               | 572             | 127             | 157             | 89              |
| 20      | 2_7_vehicle          | service               | 315             | 162             | 192             | 94              |
| 20      | 2_7_vehicle          | service               | 436             | 197             | 240             | 99              |
| 20      | 2_7_vehicle          | service               | 543             | 244             | 274             | 103             |
| 20      | 2_7_vehicle          | service               | 385             | 285             | 315             | 114             |
| 20      | 2_7_vehicle          | service               | 932             | 323             | 360             | 122             |
| 20      | 2_7_vehicle          | service               | 694             | 371             | 401             | 133             |
| 20      | 2_7_vehicle          | service               | 563             | 404             | 434             | 136             |
| 20      | 2_7_vehicle          | service               | 285             | 470             | 510             | 172             |
| 20      | 2_7_vehicle          | end                   | -               | 558             | undef           | 219             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 21      | 4_2_vehicle          | start                 | -               | undef           | 0               | 0               |
| 21      | 4_2_vehicle          | service               | 76              | 102             | 150             | 102             |
| 21      | 4_2_vehicle          | service               | 745             | 166             | 196             | 118             |
| 21      | 4_2_vehicle          | service               | 570             | 206             | 236             | 128             |
| 21      | 4_2_vehicle          | service               | 65              | 241             | 271             | 133             |
| 21      | 4_2_vehicle          | service               | 256             | 276             | 306             | 138             |
| 21      | 4_2_vehicle          | service               | 813             | 313             | 360             | 145             |
| 21      | 4_2_vehicle          | service               | 108             | 380             | 420             | 165             |
| 21      | 4_2_vehicle          | service               | 895             | 435             | 465             | 180             |
| 21      | 4_2_vehicle          | service               | 431             | 471             | 501             | 187             |
| 21      | 4_2_vehicle          | end                   | -               | 579             | undef           | 264             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 22      | 5_8_vehicle          | start                 | -               | undef           | 0               | 0               |
| 22      | 5_8_vehicle          | service               | 22              | 95              | 125             | 95              |
| 22      | 5_8_vehicle          | service               | 751             | 131             | 161             | 101             |
| 22      | 5_8_vehicle          | service               | 824             | 176             | 206             | 116             |
| 22      | 5_8_vehicle          | service               | 683             | 209             | 239             | 119             |
| 22      | 5_8_vehicle          | service               | 937             | 246             | 276             | 126             |
| 22      | 5_8_vehicle          | service               | 795             | 291             | 321             | 141             |
| 22      | 5_8_vehicle          | service               | 955             | 325             | 360             | 145             |
| 22      | 5_8_vehicle          | service               | 174             | 364             | 394             | 149             |
| 22      | 5_8_vehicle          | service               | 410             | 414             | 450             | 170             |
| 22      | 5_8_vehicle          | service               | 29              | 471             | 501             | 191             |
| 22      | 5_8_vehicle          | end                   | -               | 583             | undef           | 273             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 23      | 5_7_vehicle          | start                 | -               | undef           | 0               | 0               |
| 23      | 5_7_vehicle          | service               | 355             | 92              | 122             | 92              |
| 23      | 5_7_vehicle          | service               | 944             | 137             | 167             | 107             |
| 23      | 5_7_vehicle          | service               | 105             | 180             | 210             | 120             |
| 23      | 5_7_vehicle          | service               | 211             | 215             | 245             | 125             |
| 23      | 5_7_vehicle          | service               | 402             | 253             | 283             | 133             |
| 23      | 5_7_vehicle          | service               | 495             | 289             | 319             | 139             |
| 23      | 5_7_vehicle          | service               | 613             | 322             | 360             | 142             |
| 23      | 5_7_vehicle          | service               | 2               | 366             | 396             | 148             |
| 23      | 5_7_vehicle          | service               | 374             | 413             | 443             | 165             |
| 23      | 5_7_vehicle          | service               | 522             | 458             | 488             | 179             |
| 23      | 5_7_vehicle          | end                   | -               | 590             | undef           | 282             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 24      | 2_12_vehicle         | start                 | -               | undef           | 0               | 0               |
